.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Nebraska,2013,22nd,"10,068","22,484","483,938","154,378","25,820","736,820",0,417,13,"2,362",1,64,29,291,135,68,16,"19,322","5,970","4,500","15,073","3,328",,,
Nevada,2013,22nd,"5,692","13,444","499,589","114,828","130,317","1,060,749",7,457,0,"1,510",4,130,9,316,237,55,81,"24,649","3,568","8,184","1,802",201,,,
New Hampshire,2013,22nd,"4,025","8,422","319,550","80,126","95,025","749,488",3,142,5,324,0,83,20,220,79,22,18,"12,903","2,159","4,483","2,513",697,,,
New Jersey,2013,22nd,"3,352","8,549","2,811,302","780,218","150,104","7,328,993",1,45,8,157,36,383,419,"1,773",462,26,237,"74,530","2,325","43,302","6,608","1,688",,,
New Mexico,2013,22nd,"12,222","29,307","409,549","39,489","315,661","1,240,307",5,846,12,"1,536",3,152,59,610,265,128,68,"25,086","7,516","6,550","3,717",557,,,
New York,2013,22nd,"16,491","38,220","2,869,968","1,514,762","368,086","7,616,075",21,860,12,"2,034",100,857,903,"2,901",660,323,174,"129,737","10,867","56,641","17,397","6,223",,,
North Caroli,2013,22nd,"80,453","171,310","2,641,080","810,317","285,668","4,360,893",4,578,13,"1,779",16,661,120,"1,715",951,210,163,"105,213","13,987","34,158","18,271","5,257",,,
North Dakota,2013,22nd,"7,397","17,034","791,560","42,103","21,849","889,998",1,511,47,"2,935",0,60,20,188,113,58,3,"10,100","4,246","1,326","4,277",816,,,
Ohio,2013,22nd,"20,361","49,395","2,182,487","442,067","176,888","3,434,902",1,643,3,"1,501",14,931,303,"2,310",773,104,195,"112,767","13,901","42,300","28,030","1,960",,,
Oklahoma,2013,22nd,"13,370","30,354","1,107,209","198,569","80,926","1,710,271",2,650,37,"2,248",17,283,180,"1,107",578,143,110,"47,999","9,661","14,239","23,108","5,176",,,
Oregon,2013,22nd,"8,338","18,592","522,508","241,283","134,749","1,127,217",7,551,24,"2,783",8,176,71,750,290,90,56,"33,706","8,631","10,588","6,752","1,498",,,
Pennsylvania,2013,22nd,"41,128","88,329","2,961,634","1,438,550","514,749","6,598,827",5,"1,118",11,"1,593",13,735,287,"2,594",991,164,289,"98,628","16,248","35,376","22,623","8,613",,,
Rhode Island,2013,22nd,"1,139","2,891","246,706","97,955","45,194","484,736",0,18,7,72,0,52,100,345,53,3,40,"7,775",551,"4,794",757,387,,,
South Caroli,2013,22nd,"41,587","90,371","861,775","310,814","101,980","1,467,443",0,581,4,"1,648",2,270,23,"1,010",669,161,80,"48,986","12,177","14,307","9,296","1,922",,,
South Dakota,2013,22nd,"9,392","17,875","477,740","60,659","45,690","621,243",1,599,14,"2,891",1,80,0,102,110,51,7,"9,122","3,797","1,210","5,750","1,365",,,
Tennessee,2013,22nd,"14,243","37,093","1,367,091","293,688","171,538","1,862,518",3,682,5,"1,901",9,404,81,"1,533",869,157,253,"71,067","14,163","24,968","19,771","3,083",,,
Texas,2013,22nd,"80,490","195,245","8,721,805","1,999,832","302,763","14,275,419",25,"2,080",53,"7,686",88,"1,335",881,"5,611","2,601",563,"1,037","244,525","38,843","110,101","53,018","8,603",,,
Utah,2013,22nd,"6,385","16,099","495,620","534,759","87,299","1,544,290",0,684,0,"1,171",0,253,11,647,156,65,47,"27,005","4,479","11,851","2,946",323,,,
Vermont,2013,22nd,"2,678","5,999","152,264","122,745","58,424","399,717",0,279,8,321,0,40,12,99,54,14,4,"7,116","1,969",890,"2,716",762,,,
Virginia,2013,22nd,"58,474","126,363","1,585,919","1,623,047","314,374","4,100,308",7,658,9,"1,392",39,461,100,"1,312",639,161,118,"80,767","15,987","30,799","21,061","4,816",,,
Washington,2013,22nd,"15,797","18,435","3,836,147","666,517","198,351","5,784,984",31,425,10,"1,297",21,339,345,"1,418",376,81,105,"57,211","7,967","25,830","7,327","1,906",,,
West Virginia,2013,22nd,"34,689","70,946","734,790","295,956","113,313","1,264,440",0,369,14,"1,045",5,186,19,331,286,74,40,"19,232","5,617","4,879","7,100","2,350",,,
Wisconsin,2013,22nd,"11,902","29,652","1,440,359","215,348","185,771","2,478,992",17,464,49,"2,926",20,279,350,"1,976",455,113,99,"59,486","13,008","19,051","14,050","1,937",,,
Wyoming,2013,22nd,"7,787","15,783","372,273","93,430","55,476","564,264",12,810,20,"1,957",6,104,21,221,80,44,7,"9,309","3,968","1,290","2,799",648,,,
Alabama,2014,,"11,072","29,015","1,058,602","40,278","214,815","1,960,399",9,571,9,"2,025",24,428,32,"1,266",698,157,149,"65,667","11,071","18,172","16,088","3,532",,Hours of Delay Per Auto Commuter,2691.00%
Alaska,2014,,"7,903","8,057","762,425","225,220","91,998","1,160,920",99,991,96,532,3,77,15,134,64,22,13,"4,857","1,110","1,663","1,544",351,,Hours of Delay Per Auto Commuter,3476.00%
Arizo,2014,,"11,153","11,976","790,800","149,973","216,888","1,654,054",16,920,5,"1,188",3,247,53,633,675,115,264,"62,631","9,200","21,502","8,035",940,,Hours of Delay Per Auto Commuter,4869.00%
Arkansas,2014,,"16,418","37,581","1,383,802","206,658","51,528","1,842,384",10,405,12,"1,819",25,288,40,591,374,123,68,"34,024","7,580","9,718","12,806","2,855",,Hours of Delay Per Auto Commuter,2981.00%
California,2014,,"17,779","44,072","4,532,694","1,549,817","663,187","9,256,283",71,"1,185",59,"1,545",182,"1,156","1,245","4,561","2,860",642,"1,180","332,857","29,262","187,141","25,406","6,807",,Hours of Delay Per Auto Commuter,6584.00%
Colorado,2014,,"9,914","20,956","1,010,752","427,697","99,388","1,841,964",37,648,30,"2,569",17,304,140,"1,068",439,122,166,"48,985","8,496","22,458","8,668","1,388",,Hours of Delay Per Auto Commuter,4330.00%
Connecticut,2014,,"4,056","9,024","759,074","130,400","370,662","1,880,709",1,29,4,114,13,317,103,702,217,21,107,"31,190","1,176","17,561","4,218","1,457",,Hours of Delay Per Auto Commuter,4271.00%
Delaware,2014,,"5,479","11,687","239,521","299,444","88,519","1,287,026",-,-,0,121,4,41,15,194,55,13,14,"9,596","1,405","3,921",865,171,,Hours of Delay Per Auto Commuter,4411.00%
Florida,2014,,"12,203","43,290","4,501,032","891,715","297,074","8,036,545",1,643,4,"2,544",7,706,81,"3,823","1,397",58,970,"201,040","18,172","82,468",253,178,,Hours of Delay Per Auto Commuter,4169.00%
Georgia,2014,,"18,076","48,801","1,084,816","317,611","417,743","2,482,758",8,536,8,"2,332",22,711,88,"2,247",985,113,299,"111,535","12,102","42,234","12,137","2,003",,Hours of Delay Per Auto Commuter,4583.00%
Hawaii,2014,,"1,011","2,307","192,370","79,288","16,727","348,535",-,-,5,78,12,55,34,263,82,9,25,"10,174",307,"4,456","14,795","2,408",,Hours of Delay Per Auto Commuter,4825.00%
Idaho,2014,,"18,744","3,279","351,260","110,996","29,587","592,067",8,522,9,"1,755",2,90,40,396,151,73,19,"16,154","4,642","3,583","1,137",483,,Hours of Delay Per Auto Commuter,2928.00%
Illinois,2014,,"16,761","40,236","3,936,160","770,407","336,943","5,803,203",-,"1,243",8,"2,272",8,942,239,"3,221",772,133,258,"104,906","12,084","45,209","4,431",877,,Hours of Delay Per Auto Commuter,5685.00%
India,2014,,"11,299","28,791","1,377,754","704,513","121,435","2,325,833",24,634,19,"1,453",28,399,183,"1,617",388,60,25,"79,204","12,257","21,702","26,588","4,187",,Hours of Delay Per Auto Commuter,3968.00%
Iowa,2014,,"9,338","20,794","869,593","210,115","127,664","1,334,478",16,609,164,"3,178",12,173,106,821,267,90,35,"31,414","10,394","6,838","19,019","4,103",,Hours of Delay Per Auto Commuter,1396.00%
Kansas,2014,,"10,534","23,445","791,153","138,596","59,239","1,470,982",2,647,5,"2,635",7,226,16,358,302,125,33,"30,710","7,775","7,412","24,300","6,205",,Hours of Delay Per Auto Commuter,3462.00%
Kentucky,2014,,"28,193","60,733","1,575,909","412,348","27,450","2,544,090",2,582,4,"1,206",3,203,28,593,551,128,80,"47,941","12,689","11,833","25,085","4,229",,Hours of Delay Per Auto Commuter,3750.00%
Louisia,2014,,"16,728","39,264","1,120,326","144,251","79,497","1,717,198",15,532,21,993,45,371,170,"1,002",607,93,165,"48,252","9,249","17,325","14,194","4,444",,Hours of Delay Per Auto Commuter,3849.00%
Maine,2014,,"8,688","16,895","380,032","211,599","20,954","686,916",0,299,1,788,-,67,9,135,105,34,7,"14,301","4,091","1,630","12,982","3,781",,Hours of Delay Per Auto Commuter,1348.00%
Maryland,2014,,"7,301","19,096","1,346,125","432,605","106,490","2,559,619",2,141,3,332,24,336,153,"1,149",400,33,187,"56,432","4,258","32,232","2,419",796,,Hours of Delay Per Auto Commuter,5970.00%
Massachusetts,2014,,"3,646","7,906","1,064,039","286,495","274,098","2,472,808",-,-,-,-,-,-,-,-,224,9,141,"57,552","1,160","33,844","5,305","1,421",,Hours of Delay Per Auto Commuter,5710.00%
Michigan,2014,,"9,736","27,094","1,197,718","295,263","130,883","2,381,276",22,566,18,"2,131",59,685,435,"2,358",762,78,285,"97,384","11,066","40,860","5,141","2,683",,Hours of Delay Per Auto Commuter,4430.00%
Minnesota,2014,,"13,525","25,552","1,195,000","489,833","168,642","2,175,798",15,594,50,"3,446",19,320,50,772,321,89,40,"57,395","10,709","17,649","11,072","3,049",,Hours of Delay Per Auto Commuter,4492.00%
Mississippi,2014,,"11,550","26,476","894,062","86,445","70,101","1,170,450",10,473,14,"1,868",10,226,122,971,409,401,7,"39,499","9,213","9,474","12,961","1,193",,Hours of Delay Per Auto Commuter,3324.00%
Missouri,2014,,"33,920","76,251","981,717","484,426","71,796","3,041,297",6,841,14,"2,035",17,537,34,714,666,131,177,"70,909","14,344","24,661","17,091","3,565",,Hours of Delay Per Auto Commuter,3881.00%
Monta,2014,,"15,239","18,129","453,399","134,741","61,237","722,571",7,"1,094",35,"2,773",2,98,35,248,163,87,4,"12,157","4,868","1,784","24,385","6,455",,Hours of Delay Per Auto Commuter,1306.00%
Nebraska,2014,,"10,069","22,228","445,021","194,166","14,899","720,648",-,416,12,"2,359",1,66,63,394,158,68,23,"19,613","6,138","4,583","5,251",914,,Hours of Delay Per Auto Commuter,2867.00%
Nevada,2014,,"5,461","13,427","340,012","116,546","144,712","775,319",73,448,24,"1,500",5,141,10,334,244,42,93,"25,302","3,417","8,565","15,374","3,640",,Hours of Delay Per Auto Commuter,4265.00%
New Hampshire,2014,,"4,008","8,177","282,702","217,848","40,622","667,836",1,142,9,323,0,83,25,222,68,18,11,"12,970","2,184","4,536","1,898",249,,Hours of Delay Per Auto Commuter,2928.00%
New Jersey,2014,,"3,352","5,963","2,811,302","780,218","150,104","7,328,993",1,45,10,157,37,384,412,"1,794",484,21,261,"74,856","2,305","43,505","2,467",775,,Hours of Delay Per Auto Commuter,6721.00%
New Mexico,2014,,"12,263","29,101","372,279","72,603","321,102","965,921",6,845,11,"1,825",3,153,68,697,333,140,80,"25,347","7,428","6,791","6,609","2,343",,Hours of Delay Per Auto Commuter,3244.00%
New York,2014,,"16,541","34,835","4,559,881","1,515,455","335,663","10,190,498",25,803,19,"2,129",105,932,905,"3,064",585,158,235,"129,263","10,239","57,787","3,951",643,,Hours of Delay Per Auto Commuter,6654.00%
North Caroli,2014,,"80,474","169,749","2,441,663","943,973","264,623","4,267,115",3,536,13,"1,520",12,674,112,"1,907",977,279,125,"108,012","13,302","37,485","17,456","6,745",,Hours of Delay Per Auto Commuter,2990.00%
North Dakota,2014,,"7,413","17,097","580,875","34,783","25,416","677,922",1,511,41,"2,950",0,60,20,188,106,55,8,"10,511","4,462","1,339","18,117","5,334",,Hours of Delay Per Auto Commuter,2140.00%
Ohio,2014,,"20,367","46,682","2,421,432","497,261","69,545","3,658,391",2,643,3,"1,513",12,931,338,"2,349",829,91,213,"112,766","14,248","43,045","4,429",944,,Hours of Delay Per Auto Commuter,3512.00%
Oklahoma,2014,,"13,365","27,865","1,203,641","205,735","128,784","1,893,256",8,646,31,"2,252",13,286,172,"1,080",559,157,103,"47,699","9,832","14,291","26,986","6,532",,Hours of Delay Per Auto Commuter,4657.00%
Oregon,2014,,"9,139","15,580","984,882","211,720","122,927","2,046,832",4,493,17,"2,644",8,231,62,785,328,109,70,"34,610","7,385","11,957","23,147","5,791",,Hours of Delay Per Auto Commuter,4673.00%
Pennsylvania,2014,,"41,120","85,406","3,651,606","1,359,673","542,190","7,656,922",18,"1,119",23,"1,579",34,739,369,"2,652",945,139,306,"99,882","16,951","36,388","8,052","1,858",,Hours of Delay Per Auto Commuter,3845.00%
Rhode Island,2014,,"1,134","2,750","246,706","97,955","45,194","484,736",0,18,10,70,1,52,84,284,36,2,25,"7,677",522,"4,735","22,691","9,438",,Hours of Delay Per Auto Commuter,4277.00%
South Caroli,2014,,"41,564","89,949","958,600","419,538","121,656","1,817,727",0,546,3,"1,547",2,304,19,"1,063",721,221,76,"49,931","11,392","15,113",766,429,,Hours of Delay Per Auto Commuter,3226.00%
South Dakota,2014,,"9,428","14,776","412,067","75,698","62,987","587,899",1,591,13,"2,875",-,88,8,133,112,48,5,"9,225","3,790","1,280","9,338","1,922",,Hours of Delay Per Auto Commuter,1427.00%
Tennessee,2014,,"14,292","36,138","1,104,827","335,834","181,800","1,655,963",3,621,5,"1,765",10,481,84,"1,669",810,130,285,"72,336","12,913","26,697","5,872","1,412",,Hours of Delay Per Auto Commuter,3888.00%
Texas,2014,,"80,794","194,856","10,400,653","2,525,319","357,285","18,968,374",21,"2,001",60,"8,410",65,"1,403","1,004","5,978","2,692",637,"1,049","243,076","37,395","112,150","20,077","3,946",,Hours of Delay Per Auto Commuter,4962.00%
Utah,2014,,"6,395","14,849","423,752","450,672","86,710","1,405,823",0,684,0,"1,162",0,253,5,653,203,78,82,"27,554","4,615","12,436","52,937","9,999",,Hours of Delay Per Auto Commuter,2890.00%
Vermont,2014,,"2,606","5,930","192,634","125,827","55,400","443,178",0,257,6,311,0,60,11,106,37,12,5,"7,059","1,800","1,057","3,014",419,,Hours of Delay Per Auto Commuter,1664.00%
Virginia,2014,,"58,575","126,799","1,765,636","1,713,829","318,416","4,661,713",4,649,3,"1,370",25,455,95,"1,237",613,137,115,"80,985","16,181","30,642","2,745",882,,Hours of Delay Per Auto Commuter,6065.00%
Washington,2014,,"15,516","8,390","2,235,256","728,518","182,618","3,902,984",22,425,12,"1,297",18,338,352,"1,420",349,60,108,"58,060","8,181","26,288","13,800","3,574",,Hours of Delay Per Auto Commuter,5549.00%
West Virginia,2014,,"34,690","70,396","743,532","323,625","112,433","1,304,672",-,368,15,"1,071",5,187,18,335,233,67,37,"19,117","5,485","4,965","8,120","2,093",,Hours of Delay Per Auto Commuter,1672.00%
Wisconsin,2014,,"11,901","29,360","1,526,106","239,822","190,113","2,706,770",21,464,99,"2,927",15,278,343,"1,972",413,92,79,"60,053","13,064","19,036","7,187","2,501",,Hours of Delay Per Auto Commuter,3117.00%
Wyoming,2014,,"8,025","13,331","381,515","102,431","65,860","590,454",13,807,13,"1,978",6,107,22,226,114,72,13,"9,457","4,037","1,324","14,109","1,971",,Hours of Delay Per Auto Commuter,1071.00%
Alabama,2015,23rd,"11,089","29,568","827,758","29,852","210,431","1,702,207",6,571,10,"2,022",27,427,24,"1,165",648,153,133,"67,257","11,383","18,775","15,897","3,395",,Peak Hours in Congestion Per Auto Commuter,1051.00%
Alaska,2015,23rd,"7,959","11,906","792,549","227,206","88,477","1,175,605",89,"1,002",107,539,3,79,13,136,60,19,21,"5,045","1,140","1,677",987,191,,Peak Hours in Congestion Per Auto Commuter,931.00%
Arizo,2015,23rd,"7,214","19,612","786,634","163,161","227,782","2,557,071",10,916,8,"1,191",2,252,62,662,789,166,317,"65,045","9,692","23,141","7,714",695,,Peak Hours in Congestion Per Auto Commuter,2921.00%
Arkansas,2015,23rd,"16,423","37,640","853,322","211,772","56,231","1,283,955",10,409,32,"1,896",23,293,57,601,451,151,93,"34,897","7,815","9,800","12,687","2,672",,Peak Hours in Congestion Per Auto Commuter,988.00%
California,2015,23rd,"16,192","51,686","3,065,850","1,360,200","598,763","7,627,194",23,"1,209",110,"3,287",108,"1,241","2,388","6,579","3,015",916,"1,114","335,539","30,695","186,109","24,813","5,678",,Peak Hours in Congestion Per Auto Commuter,6139.00%
Colorado,2015,23rd,"9,914","22,928","924,589","363,779","110,933","1,816,419",39,648,27,"2,569",12,304,145,"1,068",497,124,196,"50,437","8,762","23,335","8,624","1,372",,Peak Hours in Congestion Per Auto Commuter,2627.00%
Connecticut,2015,23rd,"4,054","9,832","837,283","143,460","403,072","2,017,682",1,29,9,119,11,317,217,710,233,20,113,"31,592","1,206","17,875","4,204","1,437",,Peak Hours in Congestion Per Auto Commuter,1944.00%
Delaware,2015,23rd,"5,481","11,859","308,591","235,383","96,045","978,162",,,0,120,1,36,10,189,91,6,40,"9,931","1,475","4,073",854,155,,Peak Hours in Congestion Per Auto Commuter,2934.00%
Florida,2015,23rd,"12,203","43,759","5,548,290","978,237","297,397","9,088,539",1,612,3,"2,536",7,680,73,"3,805","1,414",311,933,"206,982","19,150","85,209","11,556","1,880",,Peak Hours in Congestion Per Auto Commuter,3376.00%
Georgia,2015,23rd,"18,070","49,074","1,168,206","348,224","481,959","2,654,662",8,534,9,"2,330",20,710,77,"2,006","1,199",175,404,"118,107","12,963","42,925","14,701","2,347",,Peak Hours in Congestion Per Auto Commuter,5127.00%
Hawaii,2015,23rd,"1,012","2,487","320,458","58,531","18,769","525,503",,,4,78,14,55,36,265,93,12,53,"10,301",323,"4,466","1,112",475,,Peak Hours in Congestion Per Auto Commuter,1302.00%
Idaho,2015,23rd,"4,992","12,341","366,642","126,127","30,255","625,666",10,521,10,"1,706",2,90,38,405,151,79,20,"16,662","4,755","3,847","4,369",835,,Peak Hours in Congestion Per Auto Commuter,917.00%
Illinois,2015,23rd,"16,777","42,235","4,417,695","816,226","261,721","6,318,431",0,"1,243",4,"2,295",8,942,247,"3,150",851,128,285,"105,223","12,402","44,825","26,724","4,167",,Peak Hours in Congestion Per Auto Commuter,4385.00%
India,2015,23rd,"11,770","28,769","1,417,027","684,805","91,664","2,316,859",24,627,19,"1,408",31,404,64,"1,057",618,162,118,"78,819","12,158","22,395","19,173","3,588",,Peak Hours in Congestion Per Auto Commuter,1798.00%
Iowa,2015,23rd,"9,499","22,739","1,008,054","225,690","52,585","1,418,129",7,605,78,"3,393",6,172,101,848,267,89,41,"33,161","11,009","7,208","24,199","6,082",,Peak Hours in Congestion Per Auto Commuter,740.00%
Kansas,2015,23rd,"10,530","23,996","768,163","163,382","68,746","1,527,425",3,639,9,"2,620",8,232,16,325,280,148,38,"31,379","7,921","7,384","24,894","3,763",,Peak Hours in Congestion Per Auto Commuter,1165.00%
Kentucky,2015,23rd,"28,197","61,987","1,734,109","484,085","29,415","2,613,317",5,622,4,"1,047",6,220,26,522,652,174,92,"48,675","13,210","12,119","14,146","4,001",,Peak Hours in Congestion Per Auto Commuter,1928.00%
Louisia,2015,23rd,"16,723","39,332","1,056,379","406,123","42,998","2,644,508",19,527,29,"1,029",55,403,169,984,613,81,185,"48,180","8,772","18,356","12,748","3,491",,Peak Hours in Congestion Per Auto Commuter,2014.00%
Maine,2015,23rd,"8,652","17,548","406,176","212,994","21,259","726,103",1,299,12,789,2,66,18,134,126,39,7,"14,629","4,174","1,664","2,375",780,,Peak Hours in Congestion Per Auto Commuter,1051.00%
Maryland,2015,23rd,"5,443","14,763","1,370,582","445,862","107,626","3,151,565",2,142,4,334,25,337,189,"1,169",176,14,86,"57,516","4,281","32,742","5,228","1,242",,Peak Hours in Congestion Per Auto Commuter,3272.00%
Massachusetts,2015,23rd,"3,556","9,302","1,064,039","286,495","274,098","2,472,808",2,64,3,105,26,508,442,"1,863",267,8,156,"59,257","1,139","34,333","5,192","1,858",,Peak Hours in Congestion Per Auto Commuter,4308.00%
Michigan,2015,23rd,"9,752","27,444","1,082,544","313,559","120,678","2,020,332",20,561,19,"2,130",55,683,432,"2,330",796,164,209,"97,843","11,461","40,503","11,061","2,761",,Peak Hours in Congestion Per Auto Commuter,2215.00%
Minnesota,2015,23rd,"13,525","29,260","1,225,943","551,613","153,410","2,366,922",18,594,49,"3,452",20,312,59,785,362,73,56,"57,395","10,709","17,649","13,964","1,433",,Peak Hours in Congestion Per Auto Commuter,3387.00%
Mississippi,2015,23rd,"11,539","28,075","716,925","76,608","71,313","978,749",14,552,19,"1,783",11,253,135,949,580,170,72,"39,890","9,303","9,673","16,056","3,160",,Peak Hours in Congestion Per Auto Commuter,1193.00%
Missouri,2015,23rd,"33,983","76,289","869,878","473,789","74,095","1,953,357",6,842,9,"2,032",15,538,58,873,745,173,229,"71,918","14,663","24,876","24,428","5,630",,Peak Hours in Congestion Per Auto Commuter,1712.00%
Monta,2015,23rd,"11,352","25,125","453,865","131,356","79,682","739,855",9,"1,094",36,"2,773",2,98,32,248,180,91,10,"12,345","4,895","1,812","4,960",901,,Peak Hours in Congestion Per Auto Commuter,953.00%
Nebraska,2015,23rd,"10,062","22,508","490,154","212,915","20,809","798,917",2,407,24,"2,136",2,61,64,276,190,74,35,"20,101","6,179","4,879","15,030","3,184",,Peak Hours in Congestion Per Auto Commuter,979.00%
Nevada,2015,23rd,"5,450","13,598","443,125","110,433","135,578","864,107",3,448,24,"1,490",3,150,12,354,288,76,98,"25,925","3,627","8,942","1,911",422,,Peak Hours in Congestion Per Auto Commuter,1968.00%
New Hampshire,2015,23rd,"4,008","8,405","311,666","237,331","86,547","791,443",0,142,11,324,0,83,22,221,88,20,22,"13,094","2,220","4,576","2,525",674,,Peak Hours in Congestion Per Auto Commuter,1993.00%
New Jersey,2015,23rd,"3,352","8,555","3,080,659","699,692","213,717","6,935,438",1,45,11,157,38,386,456,"1,801",484,25,257,"75,393","2,310","43,047","6,680","2,149",,Peak Hours in Congestion Per Auto Commuter,7253.00%
New Mexico,2015,23rd,"12,130","29,504","445,814","46,775","344,102","1,101,856",7,845,13,"1,887",3,153,63,612,230,96,70,"27,435","7,834","6,782","3,793",528,,Peak Hours in Congestion Per Auto Commuter,1126.00%
New York,2015,23rd,"16,527","38,320","4,296,048","1,518,142","382,240","8,801,035",32,783,35,"2,122",103,919,836,"3,065",656,187,256,"127,230","10,145","56,557","17,498","6,591",,Peak Hours in Congestion Per Auto Commuter,5480.00%
North Caroli,2015,23rd,"80,597","171,687","2,372,864","883,660","289,549","4,175,592",4,541,17,"1,517",11,686,143,"1,917","1,051",660,191,"111,879","13,811","38,862","18,124","5,174",,Peak Hours in Congestion Per Auto Commuter,1423.00%
North Dakota,2015,23rd,"7,426","17,217","651,295","30,353","26,756","747,068",1,511,26,"2,960",0,60,19,188,113,55,7,"10,036","4,056","1,327","4,250",775,,Peak Hours in Congestion Per Auto Commuter,741.00%
Ohio,2015,23rd,"20,363","49,416","2,732,780","516,810","407,649","4,338,201",10,642,11,"1,513",34,931,358,"2,411",933,103,252,"113,673","14,369","42,702","28,694","5,792",,Peak Hours in Congestion Per Auto Commuter,1647.00%
Oklahoma,2015,23rd,"13,358","30,356","1,108,668","638,098","293,510","2,523,506",18,646,43,"2,251",22,286,176,"1,104",522,115,129,"47,713","10,163","14,343","22,191","4,606",,Peak Hours in Congestion Per Auto Commuter,1258.00%
Oregon,2015,23rd,"9,134","18,594","628,405","245,874","143,790","2,110,754",5,495,23,"2,657",10,234,85,851,404,130,67,"35,999","7,779","12,398","6,790","1,558",,Peak Hours in Congestion Per Auto Commuter,3135.00%
Pennsylvania,2015,23rd,"41,105","88,297","3,551,258","1,460,030","607,104","8,041,582",17,"1,112",30,"1,562",38,748,410,"2,804",851,152,276,"100,945","17,323","37,566","22,726","7,878",,Peak Hours in Congestion Per Auto Commuter,2407.00%
Rhode Island,2015,23rd,"1,158","2,848","246,706","97,955","45,194","484,736",0,18,14,97,3,52,108,341,35,2,27,"7,833",593,"4,889",773,402,,Peak Hours in Congestion Per Auto Commuter,1973.00%
South Caroli,2015,23rd,"41,554","90,465","651,335","515,154","112,355","1,540,987",2,546,15,"1,546",7,304,21,"1,064",904,277,146,"51,726","12,061","15,810","9,305","1,879",,Peak Hours in Congestion Per Auto Commuter,1246.00%
South Dakota,2015,23rd,"9,439","17,921","314,200","78,335","62,991","491,990",4,591,42,"2,593",2,88,23,134,115,57,9,"9,324","3,860","1,262","5,723","1,320",,Peak Hours in Congestion Per Auto Commuter,779.00%
Tennessee,2015,23rd,"14,276","37,220","1,033,817","315,783","168,326","1,553,590",1,564,6,"1,729",9,526,75,"1,750",830,136,256,"76,670","12,283","29,119","19,792","3,354",,Peak Hours in Congestion Per Auto Commuter,2119.00%
Texas,2015,23rd,"80,794","195,756","11,847,072","2,313,303","329,818","20,420,066",24,"2,001",60,"8,420",73,"1,415",870,"5,955","2,708",716,"1,056","258,122","39,029","122,134","53,844","8,613",,Peak Hours in Congestion Per Auto Commuter,4127.00%
Utah,2015,23rd,"6,393","16,127","459,847","369,292","92,140","1,557,139",2,683,5,838,5,253,13,537,244,66,98,"29,604","4,934","13,049","2,986",349,,Peak Hours in Congestion Per Auto Commuter,1262.00%
Vermont,2015,23rd,"2,629","6,003","203,602","119,388","56,439","449,714",0,258,7,311,0,60,13,108,46,16,8,"7,314","1,929","1,082","2,729",704,,Peak Hours in Congestion Per Auto Commuter,842.00%
Virginia,2015,23rd,"58,687","127,258","1,833,512","1,462,853","363,571","4,215,432",3,469,4,"1,273",20,638,115,"1,684",646,177,127,"82,625","11,911","37,789","13,884","3,580",,Peak Hours in Congestion Per Auto Commuter,3656.00%
Washington,2015,23rd,"15,431","18,478","2,363,603","774,627","183,457","4,978,108",22,429,15,"1,312",21,335,339,"1,421",500,107,158,"59,653","8,646","27,145","7,373","1,887",,Peak Hours in Congestion Per Auto Commuter,3870.00%
West Virginia,2015,23rd,"34,685","70,987","654,041","314,057","123,876","1,215,596",4,298,30,990,6,241,20,409,236,51,34,"19,827","4,431","6,068","7,162","2,651",,Peak Hours in Congestion Per Auto Commuter,733.00%
Wisconsin,2015,23rd,"11,746","29,669","1,376,476","239,755","199,185","2,945,095",28,512,97,"2,931",24,363,401,"1,940",482,120,95,"62,073","13,375","19,637","14,116","1,992",,Peak Hours in Congestion Per Auto Commuter,1338.00%
Wyoming,2015,23rd,"7,949","15,726","407,365","93,853","87,080","630,733",13,808,9,"1,955",6,106,22,217,115,66,9,"9,597","4,144","1,341","2,801",572,,Peak Hours in Congestion Per Auto Commuter,586.00%
Alabama,2016,24th,"11,078","30,013","777,419","30,633","214,615","1,322,866",4,563,9,"1,999",19,424,34,"1,320",839,214,186,"69,227","11,822","19,391","16,129",,"1,200",Peak Hours in Congestion Per Auto Commuter,1225.00%
Alaska,2016,24th,"7,965","16,540","899,986","221,032","100,529","1,276,295",106,996,113,529,2,78,12,138,72,20,18,"5,259","1,221","1,739","1,569",,165,Peak Hours in Congestion Per Auto Commuter,933.00%
Arizo,2016,24th,"7,874","22,804","1,054,975","147,934","249,804","1,928,141",14,916,9,"1,189",3,252,54,657,845,160,359,"65,786","9,929","23,618","8,265",,205,Peak Hours in Congestion Per Auto Commuter,2732.00%
